Lead_Vehicle Trajectory Data
==================================================
TimeStep, Ref_X, Ref_Y, Actual_X, Actual_Y
==================================================
  0  36.000000   1.850000  36.000000   1.850000
  1  36.750000   1.850000  36.750000   1.850000
  2  37.500000   1.850000  37.499822   1.850000
  3  38.250000   1.850000  38.249466   1.850000
  4  39.000000   1.850000  38.998932   1.850000
  5  39.750000   1.850000  39.748220   1.850000
  6  40.500000   1.850000  40.497330   1.850000
  7  41.250000   1.850000  41.246262   1.850000
  8  42.000000   1.850000  41.995016   1.850000
  9  42.750000   1.850000  42.743593   1.850000
 10  43.500000   1.850000  43.491992   1.850000
 11  44.250000   1.850000  44.240213   1.850000
 12  45.000000   1.850000  44.988256   1.850000
 13  45.750000   1.850000  45.736122   1.850000
 14  46.500000   1.850000  46.483811   1.850000
 15  47.250000   1.850000  47.231322   1.850000
 16  48.000000   1.850000  47.978655   1.850000
 17  48.750000   1.850000  48.725811   1.850000
 18  49.500000   1.850000  49.472790   1.850000
 19  50.250000   1.850000  50.219591   1.850000
 20  51.000000   1.850000  50.966215   1.850000
 21  51.750000   1.850000  51.712662   1.850000
 22  52.500000   1.850000  52.458932   1.850000
 23  53.250000   1.850000  53.205024   1.850000
 24  54.000000   1.850000  53.950940   1.850000
 25  54.750000   1.850000  54.696678   1.850000
 26  55.500000   1.850000  55.442239   1.850000
 27  56.250000   1.850000  56.187624   1.850000
 28  57.000000   1.850000  56.932831   1.850000
 29  57.750000   1.850000  57.677862   1.850000
 30  58.500000   1.850000  58.422715   1.850000
 31  59.250000   1.850000  59.167392   1.850000
 32  60.000000   1.850000  59.911892   1.850000
 33  60.750000   1.850000  60.656216   1.850000
 34  61.500000   1.850000  61.400363   1.850000
 35  62.250000   1.850000  62.144333   1.850000
 36  63.000000   1.850000  62.888126   1.850000
 37  63.750000   1.850000  63.631743   1.850000
 38  64.500000   1.850000  64.375184   1.850000
 39  65.250000   1.850000  65.118448   1.850000
 40  66.000000   1.850000  65.861536   1.850000
 41  66.750000   1.850000  66.604447   1.850000
 42  67.500000   1.850000  67.347182   1.850000
 43  68.250000   1.850000  68.089741   1.850000
 44  69.000000   1.850000  68.832124   1.850000
 45  69.750000   1.850000  69.574330   1.850000
 46  70.500000   1.850000  70.316360   1.850000
 47  71.250000   1.850000  71.058215   1.850000
 48  72.000000   1.850000  71.799893   1.850000
 49  72.750000   1.850000  72.541395   1.850000
 50  73.500000   1.850000  73.282721   1.850000
 51  74.250000   1.850000  74.023871   1.850000
 52  75.000000   1.850000  74.764846   1.850000
 53  75.750000   1.850000  75.505644   1.850000
 54  76.500000   1.850000  76.246267   1.850000
 55  77.250000   1.850000  76.986714   1.850000
 56  78.000000   1.850000  77.726986   1.850000
 57  78.750000   1.850000  78.467081   1.850000
 58  79.500000   1.850000  79.207001   1.850000
 59  80.250000   1.850000  79.946746   1.850000
 60  81.000000   1.850000  80.686315   1.850000
 61  81.750000   1.850000  81.425709   1.850000
 62  82.500000   1.850000  82.164927   1.850000
 63  83.250000   1.850000  82.903969   1.850000
 64  84.000000   1.850000  83.642837   1.850000
 65  84.750000   1.850000  84.381529   1.850000
 66  85.500000   1.850000  85.120046   1.850000
 67  86.250000   1.850000  85.858387   1.850000
 68  87.000000   1.850000  86.596554   1.850000
 69  87.750000   1.850000  87.334545   1.850000
 70  88.500000   1.850000  88.072361   1.850000
 71  89.250000   1.850000  88.810003   1.850000
 72  90.000000   1.850000  89.547469   1.850000
 73  90.750000   1.850000  90.284760   1.850000
 74  91.500000   1.850000  91.021877   1.850000
 75  92.250000   1.850000  91.758818   1.850000
 76  93.000000   1.850000  92.495585   1.850000
 77  93.750000   1.850000  93.232177   1.850000
 78  94.500000   1.850000  93.968594   1.850000
 79  95.250000   1.850000  94.704837   1.850000
 80  96.000000   1.850000  95.440904   1.850000
 81  96.750000   1.850000  96.176798   1.850000
 82  97.500000   1.850000  96.912516   1.850000
 83  98.250000   1.850000  97.648061   1.850000
 84  99.000000   1.850000  98.383430   1.850000
 85  99.750000   1.850000  99.118626   1.850000
 86 100.500000   1.850000  99.853647   1.850000
 87 101.250000   1.850000 100.588493   1.850000
 88 102.000000   1.850000 101.323166   1.850000
 89 102.750000   1.850000 102.057664   1.850000
 90 103.500000   1.850000 102.791988   1.850000
 91 104.250000   1.850000 103.526137   1.850000
 92 105.000000   1.850000 104.260113   1.850000
 93 105.750000   1.850000 104.993914   1.850000
 94 106.500000   1.850000 105.727542   1.850000
 95 107.250000   1.850000 106.460995   1.850000
 96 108.000000   1.850000 107.194275   1.850000
 97 108.750000   1.850000 107.927381   1.850000
 98 109.500000   1.850000 108.660312   1.850000
 99 110.250000   1.850000 109.393070   1.850000
