Following_Vehicle_2 Trajectory Data
==================================================
TimeStep, Ref_X, Ref_Y, Actual_X, Actual_Y
==================================================
  0  30.000000   5.550000  30.000000   5.550000
  1  30.750000   5.550000  30.750000   5.550000
  2  31.500000   5.550000  31.499644   5.550000
  3  32.250000   5.550000  32.248932   5.550000
  4  33.000000   5.550000  32.997864   5.550000
  5  33.750000   5.550000  33.746441   5.550000
  6  34.500000   5.550000  34.494662   5.550000
  7  35.250000   5.550000  35.242529   5.550000
  8  36.000000   5.550000  35.990040   5.550000
  9  36.750000   5.550000  36.737196   5.550000
 10  37.500000   5.550000  37.483998   5.550000
 11  38.250000   5.550000  38.230445   5.550000
 12  39.000000   5.550000  38.976538   5.550000
 13  39.750000   5.550000  39.722277   5.550000
 14  40.500000   5.550000  40.467662   5.550000
 15  41.250000   5.550000  41.212693   5.550000
 16  42.000000   5.550000  41.957371   5.550000
 17  42.750000   5.550000  42.701695   5.550000
 18  43.500000   5.550000  43.445666   5.550000
 19  44.250000   5.550000  44.189284   5.550000
 20  45.000000   5.550000  44.932549   5.550000
 21  45.750000   5.550000  45.675461   5.550000
 22  46.500000   5.550000  46.418021   5.550000
 23  47.250000   5.550000  47.160228   5.550000
 24  48.000000   5.550000  47.902083   5.550000
 25  48.750000   5.402000  48.643587   5.476815
 26  49.500000   5.254000  49.384738   5.345727
 27  50.250000   5.106000  50.125539   5.180654
 28  51.000000   4.958000  50.865988   4.981643
 29  51.750000   4.810000  51.606087   4.812442
 30  52.500000   4.662000  52.345834   4.663197
 31  53.250000   4.514000  53.085231   4.515051
 32  54.000000   4.366000  53.824278   4.366988
 33  54.750000   4.218000  54.562974   4.218947
 34  55.500000   4.070000  55.301321   4.070920
 35  56.250000   3.922000  56.039317   3.922901
 36  57.000000   3.774000  56.776964   3.774889
 37  57.750000   3.626000  57.514261   3.626880
 38  58.500000   3.478000  58.251209   3.478875
 39  59.250000   3.330000  58.987808   3.330871
 40  60.000000   3.182000  59.724057   3.182869
 41  60.750000   3.034000  60.459958   3.034867
 42  61.500000   2.886000  61.195510   2.886866
 43  62.250000   2.738000  61.930714   2.738866
 44  63.000000   2.590000  62.665569   2.590866
 45  63.750000   2.442000  63.400076   2.442866
 46  64.500000   2.294000  64.134236   2.294866
 47  65.250000   2.146000  64.868047   2.146866
 48  66.000000   1.998000  65.601511   1.998866
 49  66.750000   1.850000  66.334627   1.850867
 50  67.500000   1.850000  67.067396   1.775197
 51  68.250000   1.850000  67.799818   1.756702
 52  69.000000   1.850000  68.531892   1.771466
 53  69.750000   1.850000  69.263619   1.819442
 54  70.500000   1.850000  69.995000   1.847973
 55  71.250000   1.850000  70.726033   1.849645
 56  72.000000   1.850000  71.456720   1.849812
 57  72.750000   1.850000  72.187061   1.849874
 58  73.500000   1.850000  72.917055   1.849914
 59  74.250000   1.850000  73.646703   1.849941
 60  75.000000   1.850000  74.376005   1.849960
 61  75.750000   1.850000  75.104962   1.849972
 62  76.500000   1.850000  75.833573   1.849981
 63  77.250000   1.850000  76.561839   1.849987
 64  78.000000   1.850000  77.289759   1.849991
 65  78.750000   1.850000  78.017334   1.849994
 66  79.500000   1.850000  78.744565   1.849996
 67  80.250000   1.850000  79.471451   1.849997
 68  81.000000   1.850000  80.197992   1.849998
 69  81.750000   1.850000  80.924189   1.849999
 70  82.500000   1.850000  81.650042   1.849999
 71  83.250000   1.850000  82.375551   1.849999
 72  84.000000   1.850000  83.100715   1.850000
 73  84.750000   1.850000  83.825537   1.850000
 74  85.500000   1.850000  84.550014   1.850000
 75  86.250000   1.850000  85.274149   1.850000
 76  87.000000   1.850000  85.997940   1.850000
 77  87.750000   1.850000  86.721389   1.850000
 78  88.500000   1.850000  87.444494   1.850000
 79  89.250000   1.850000  88.167257   1.850000
 80  90.000000   1.850000  88.889677   1.850000
 81  90.750000   1.850000  89.611756   1.850000
 82  91.500000   1.850000  90.333492   1.850000
 83  92.250000   1.850000  91.054886   1.850000
 84  93.000000   1.850000  91.775938   1.850000
 85  93.750000   1.850000  92.496649   1.850000
 86  94.500000   1.850000  93.217018   1.850000
 87  95.250000   1.850000  93.937046   1.850000
 88  96.000000   1.850000  94.656733   1.850000
 89  96.750000   1.850000  95.376079   1.850000
 90  97.500000   1.850000  96.095084   1.850000
 91  98.250000   1.850000  96.813749   1.850000
 92  99.000000   1.850000  97.532073   1.850000
 93  99.750000   1.850000  98.250057   1.850000
 94 100.500000   1.850000  98.967701   1.850000
 95 101.250000   1.850000  99.685005   1.850000
 96 102.000000   1.850000 100.401969   1.850000
 97 102.750000   1.850000 101.118594   1.850000
 98 103.500000   1.850000 101.834879   1.850000
 99 104.250000   1.850000 102.550825   1.850000
